placeId,cid,title,categoryName,temporarilyClosed,reviewsCount,permanentlyClosed,url,totalScore,location/lat,location/lng
ChIJq6rqa6-B0IkRLQFcDr87bmw,7813248095300092205,Handwerker Gallery,Museum,False,6,False,"https://www.google.com/maps/place/Handwerker+Gallery/@42.4212157,-76.4950752,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081af6beaaaab:0x6c6e3bbf0e5c012d!8m2!3d42.4212157!4d-76.4950752!16s%2Fg%2F1tdgwch7?hl=en&entry=ttu",4.7,42.4212157,-76.4950752
ChIJX2qp_jeB0IkRDvio7RjYiXc,8613653363900872718,Neighbors Art Gallery,Museum,False,0,False,"https://www.google.com/maps/place/Neighbors+Art+Gallery/@42.4365103,-76.5298452,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08137fea96a5f:0x7789d818eda8f80e!8m2!3d42.4365103!4d-76.5298452!16s%2Fg%2F11g4gz_0sd?hl=en&entry=ttu",,42.4365103,-76.5298452
ChIJGTzK-KeB0IkRuvWye9o_pZ8,11503671030798546362,Tamarack Design,Museum,False,0,False,"https://www.google.com/maps/place/Tamarack+Design/@42.4232182,-76.5020895,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081a7f8ca3c19:0x9fa53fda7bb2f5ba!8m2!3d42.4232182!4d-76.5020895!16s%2Fg%2F11f63y8hqb?hl=en&entry=ttu",,42.4232182,-76.5020895
ChIJYcby3u-D0IkRJpAHcv5w52M,7198846767512129574,Museum of The Earth,Bus stop,False,0,False,"https://www.google.com/maps/place/Museum+of+The+Earth/@42.4672,-76.53699,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083efdef2c661:0x63e770fe72079026!8m2!3d42.4672!4d-76.53699!16s%2Fg%2F11g02fd73l?hl=en&entry=ttu",,42.4672,-76.53699
ChIJ-ZTaCu6G0IkR0hQmSM_2Oxg,1746260650665317586,Crystal's Point,Museum,True,0,False,"https://www.google.com/maps/place/Crystal's+Point/@42.435836,-76.574358,17z/data=!3m1!4b1!4m6!3m5!1s0x89d086ee0ada94f9:0x183bf6cf482614d2!8m2!3d42.435836!4d-76.574358!16s%2Fg%2F11c5bsz289?hl=en&entry=ttu",,42.435836,-76.574358
ChIJ01Z2OyiB0IkRfuMbI-czxdI,15187602386196358014,Timothy N. Heasley Mineralogy Museum,Museum,False,0,False,"https://www.google.com/maps/place/Timothy+N.+Heasley+Mineralogy+Museum/@42.4434632,-76.4851007,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081283b7656d3:0xd2c533e7231be37e!8m2!3d42.4434632!4d-76.4851007!16s%2Fg%2F11s8s_m3h4?hl=en&entry=ttu",,42.4434632,-76.4851007
ChIJAQAAgfWB0IkRS1G5IwUXie8,17260352357715759435,LHB Hortorium Museum,Museum,False,2,False,"https://www.google.com/maps/place/LHB+Hortorium+Museum/@42.4487577,-76.4764146,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f581000001:0xef89170523b9514b!8m2!3d42.4487577!4d-76.4764146!16s%2Fg%2F1wj_v7lg?hl=en&entry=ttu",4.5,42.4487577,-76.4764146
ChIJhbX-U4F42okRRKPd9PGaNmM,7149071822483202884,Cornell University Museum of Vertebrates,Natural history museum,False,4,False,"https://www.google.com/maps/place/Cornell+University+Museum+of+Vertebrates/@42.4799468,-76.4508641,17z/data=!3m1!4b1!4m6!3m5!1s0x89da788153feb585:0x63369af1f4dda344!8m2!3d42.4799468!4d-76.4508641!16s%2Fg%2F1hc2bpcc2?hl=en&entry=ttu",4.8,42.4799468,-76.4508641
ChIJj4MZoH-B0IkRyGBFpk7ffSA,2341272910192533704,Sciencenter,Science museum,False,1226,False,"https://www.google.com/maps/place/Sciencenter/@42.449849,-76.504065,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0817fa019838f:0x207ddf4ea64560c8!8m2!3d42.449849!4d-76.504065!16s%2Fm%2F047rsnb?hl=en&entry=ttu",4.7,42.449849,-76.504065
ChIJx6N8-ZqB0IkRoAZKOxKh82g,7562565298961385120,The History Center in Tompkins County,History museum,False,13,False,"https://www.google.com/maps/place/The+History+Center+in+Tompkins+County/@42.440003,-76.4969629,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819af97ca3c7:0x68f3a1123b4a06a0!8m2!3d42.440003!4d-76.4969629!16s%2Fg%2F1trxfp4c?hl=en&entry=ttu",5.0,42.440003,-76.4969629
ChIJbU7QSu-P0IkRJNPyWXERsC4,3364208100183823140,Ulysses Historical Society,Museum,False,10,False,"https://www.google.com/maps/place/Ulysses+Historical+Society/@42.5366375,-76.6582481,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08fef4ad04e6d:0x2eb0117159f2d324!8m2!3d42.5366375!4d-76.6582481!16s%2Fg%2F1tgcz0qv?hl=en&entry=ttu",4.8,42.5366375,-76.6582481
ChIJ1TE3nY6B0IkRDzVXrn48f94,16032599713250751759,Herbert F. Johnson Museum of Art,Art museum,False,564,False,"https://www.google.com/maps/place/Herbert+F.+Johnson+Museum+of+Art/@42.4507153,-76.4862114,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e9d3731d5:0xde7f3c7eae57350f!8m2!3d42.4507153!4d-76.4862114!16zL20vMDZfNTl3?hl=en&entry=ttu",4.7,42.4507153,-76.4862114
ChIJDedE---D0IkRd_L9T7Z8Ksk,14495535473113297527,Museum of the Earth,Museum,False,490,False,"https://www.google.com/maps/place/Museum+of+the+Earth/@42.4664857,-76.5359543,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083effb44e70d:0xc92a7cb64ffdf277!8m2!3d42.4664857!4d-76.5359543!16s%2Fm%2F026k1n5?hl=en&entry=ttu",4.5,42.4664857,-76.5359543
ChIJM0PTrCN32okRkzOoMJ8Kz-o,16919754003886650259,Groton Historical Society,Historical place museum,True,0,False,"https://www.google.com/maps/place/Groton+Historical+Society/@42.589069,-76.3675158,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7723acd34333:0xeacf0a9f30a83393!8m2!3d42.589069!4d-76.3675158!16s%2Fg%2F11f5q769_g?hl=en&entry=ttu",,42.589069,-76.3675158
ChIJAQBAZ4mB0IkRgkizhvcgkEk,5300773008903981186,Cornell Cinema,Movie theater,False,81,False,"https://www.google.com/maps/place/Cornell+Cinema/@42.446491,-76.485678,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818967400001:0x499020f786b34882!8m2!3d42.446491!4d-76.485678!16s%2Fg%2F1tf6yb5d?hl=en&entry=ttu",4.5,42.446491,-76.485678
ChIJMYsOeliF0IkRhVNYuMPMc1I,5941317474415301509,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.533026,-76.639679,17z/data=!3m1!4b1!4m6!3m5!1s0x89d085587a0e8b31:0x5273ccc3b8585385!8m2!3d42.533026!4d-76.639679!16s%2Fg%2F1tf7t36d?hl=en&entry=ttu",,42.533026,-76.639679
ChIJiXIfOHOB0IkRKW5Ik_rOq0Y,5092391379280621097,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.4405993,-76.5087575,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08173381f7289:0x46abcefa93486e29!8m2!3d42.4405993!4d-76.5087575!16s%2Fg%2F1v_0kqp4?hl=en&entry=ttu",,42.4405993,-76.5087575
ChIJd5TQDg6B0IkR-HlNIZ6QoUA,4657162498515761656,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.4275548,-76.5139554,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0810e0ed09477:0x40a1909e214d79f8!8m2!3d42.4275548!4d-76.5139554!16s%2Fg%2F1wyc59lb?hl=en&entry=ttu",,42.4275548,-76.5139554
ChIJb8gYYp562okREoxQOrBwpvM,17556844099545369618,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.5023396,-76.2989813,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a9e6218c86f:0xf3a670b03a508c12!8m2!3d42.5023396!4d-76.2989813!16s%2Fg%2F11gfhb7y8c?hl=en&entry=ttu",,42.5023396,-76.2989813
ChIJOeu8lEp32okRwZpWvS-vLTY,3903969071574981313,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.5871413,-76.3671324,17z/data=!3m1!4b1!4m6!3m5!1s0x89da774a94bceb39:0x362daf2fbd569ac1!8m2!3d42.5871413!4d-76.3671324!16s%2Fg%2F11fp64tvn9?hl=en&entry=ttu",,42.5871413,-76.3671324
ChIJkTixe5yB0IkRIaV8x4f2BwE,74298981902755105,Cinemapolis,Movie theater,False,399,False,"https://www.google.com/maps/place/Cinemapolis/@42.4387795,-76.497034,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c7bb13891:0x107f687c77ca521!8m2!3d42.4387795!4d-76.497034!16s%2Fg%2F1tg51dgy?hl=en&entry=ttu",4.8,42.4387795,-76.497034
ChIJKaOTClqC0IkR08o9vqce8kE,4751894262629386963,Regal Ithaca Mall,Movie theater,False,987,False,"https://www.google.com/maps/place/Regal+Ithaca+Mall/@42.4842957,-76.4918336,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0825a0a93a329:0x41f21ea7be3dcad3!8m2!3d42.4842957!4d-76.4918336!16s%2Fg%2F1wb8vn_f?hl=en&entry=ttu",4.3,42.4842957,-76.4918336
ChIJiXIfOHOB0IkR-gCih2i51xU,1573930453392556282,Redbox,Movie rental kiosk,False,0,False,"https://www.google.com/maps/place/Redbox/@42.4363101,-76.5071765,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08173381f7289:0x15d7b96887a200fa!8m2!3d42.4363101!4d-76.5071765!16s%2Fg%2F1thky729?hl=en&entry=ttu",,42.4363101,-76.5071765
ChIJ6-zVmZZ62okRH86fj3eCO00,5565185214568713759,The Movie House & More,Novelty store,False,5,False,"https://www.google.com/maps/place/The+Movie+House+%26+More/@42.4907497,-76.2983958,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a9699d5eceb:0x4d3b82778f9fce1f!8m2!3d42.4907497!4d-76.2983958!16s%2Fg%2F11h9x3m5sc?hl=en&entry=ttu",4.6,42.4907497,-76.2983958
ChIJ2Rvrj_CB0IkR18h1wHdtTJA,10397806000789113047,Visions Amphitheater,Performing arts theater,False,0,False,"https://www.google.com/maps/place/Visions+Amphitheater/@42.4186893,-76.5220122,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f08feb1bd9:0x904c6d77c075c8d7!8m2!3d42.4186893!4d-76.5220122!16s%2Fg%2F11tt12nj15?hl=en&entry=ttu",,42.4186893,-76.5220122
ChIJpwdTeJWd0IkRYBLV5636Hyk,2963362704658862688,The Savage Club Performing Arts Center,Performing arts theater,False,3,False,"https://www.google.com/maps/place/The+Savage+Club+Performing+Arts+Center/@42.5994658,-76.4968904,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09d95785307a7:0x291ffaade7d51260!8m2!3d42.5994658!4d-76.4968904!16s%2Fg%2F11r_mq1dmj?hl=en&entry=ttu",3.7,42.5994658,-76.4968904
ChIJV5sYjiCC0IkRxuwrPZ50GCc,2817129789900188870,Bailey Hall,Performing arts theater,False,157,False,"https://www.google.com/maps/place/Bailey+Hall/@42.4494489,-76.4799676,17z/data=!3m1!4b1!4m6!3m5!1s0x89d082208e189b57:0x2718749e3d2becc6!8m2!3d42.4494489!4d-76.4799676!16s%2Fm%2F026f1nw?hl=en&entry=ttu",4.7,42.4494489,-76.4799676
ChIJp5L3e46B0IkRXeC8KGPJ3oY,9718426473634521181,Schwartz Center for the Performing Arts,Performing arts theater,False,43,False,"https://www.google.com/maps/place/Schwartz+Center+for+the+Performing+Arts/@42.4424685,-76.4859262,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e7bf792a7:0x86dec96328bce05d!8m2!3d42.4424685!4d-76.4859262!16s%2Fg%2F1hc1x1vj1?hl=en&entry=ttu",4.7,42.4424685,-76.4859262
ChIJycoDu4OB0IkRlrkz2b4BJU4,5630908828296133014,Walmart Home Theater Installation,Home cinema installation,False,0,False,"https://www.google.com/maps/place/Walmart+Home+Theater+Installation/@42.427633,-76.513975,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08183bb03cac9:0x4e2501bed933b996!8m2!3d42.427633!4d-76.513975!16s%2Fg%2F11rsrk2x4f?hl=en&entry=ttu",,42.427633,-76.513975
ChIJ7__voSGC0IkRPgJNmKMR5Bo,1937693134008681022,Risley Theatre,Performing arts theater,False,11,False,"https://www.google.com/maps/place/Risley+Theatre/@42.4528747,-76.481684,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08221a1efffef:0x1ae411a3984d023e!8m2!3d42.4528747!4d-76.481684!16s%2Fg%2F1tf_tvhb?hl=en&entry=ttu",4.5,42.4528747,-76.481684
ChIJBcQA9NiD0IkRCxXPsZbIMJg,10966485642200945931,Hangar Theatre,Performing arts theater,False,303,False,"https://www.google.com/maps/place/Hangar+Theatre/@42.4552976,-76.5174045,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083d8f400c405:0x9830c896b1cf150b!8m2!3d42.4552976!4d-76.5174045!16s%2Fm%2F0r8k5sw?hl=en&entry=ttu",4.7,42.4552976,-76.5174045
ChIJofc3-JyB0IkRJfXvm2bs1wU,421065015629444389,Kitchen Theatre Company,Performing arts theater,False,91,False,"https://www.google.com/maps/place/Kitchen+Theatre+Company/@42.439258,-76.5048045,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819cf837f7a1:0x5d7ec669beff525!8m2!3d42.439258!4d-76.5048045!16s%2Fm%2F0k6ygfd?hl=en&entry=ttu",4.9,42.439258,-76.5048045
ChIJn6DcVZyB0IkRerhSO5NW5r0,13683719708167288954,State Theatre of Ithaca,Performing arts theater,False,713,False,"https://www.google.com/maps/place/State+Theatre+of+Ithaca/@42.4392509,-76.4995575,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c55dca09f:0xbde656933b52b87a!8m2!3d42.4392509!4d-76.4995575!16s%2Fm%2F09g85zx?hl=en&entry=ttu",4.7,42.4392509,-76.4995575
ChIJk0Fkgo2B0IkRP6h1TETC348,10367218465826515007,Actor's Workshop of Ithaca,Performing arts theater,True,5,False,"https://www.google.com/maps/place/Actor's+Workshop+of+Ithaca/@42.4404343,-76.4822897,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818d82644193:0x8fdfc2444c75a83f!8m2!3d42.4404343!4d-76.4822897!16s%2Fg%2F1tdcmys8?hl=en&entry=ttu",5.0,42.4404343,-76.4822897
ChIJQ5FM33GB0IkR9LoAFokOyCg,2938614738801703668,Running to Places,Youth organization,False,0,False,"https://www.google.com/maps/place/Running+to+Places/@42.4402499,-76.5142846,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08171df4c9143:0x28c80e891600baf4!8m2!3d42.4402499!4d-76.5142846!16s%2Fg%2F11ghr10k7l?hl=en&entry=ttu",,42.4402499,-76.5142846
ChIJB_k4522B0IkRGLQHtkJd6CA,2371247744913749016,The Cherry Arts,Non-profit organization,False,54,False,"https://www.google.com/maps/place/The+Cherry+Arts/@42.4386022,-76.5154551,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0816de738f907:0x20e85d42b607b418!8m2!3d42.4386022!4d-76.5154551!16s%2Fg%2F11cp7l2p3s?hl=en&entry=ttu",4.9,42.4386022,-76.5154551
ChIJofYgee2B0IkR6RtO5eDdfFs,6592387912553077737,Alice Statler Auditorium,Auditorium,False,1,False,"https://www.google.com/maps/place/Alice+Statler+Auditorium/@42.4456343,-76.481682,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081ed7920f6a1:0x5b7cdde0e54e1be9!8m2!3d42.4456343!4d-76.481682!16s%2Fg%2F11thl2t2sz?hl=en&entry=ttu",4.0,42.4456343,-76.481682
ChIJ-zem-4SB0IkRGJ8DQiAln24,7971130685945782040,Ballroom Theatre Arts Dancing Services,Event venue,True,0,False,"https://www.google.com/maps/place/Ballroom+Theatre+Arts+Dancing+Services/@42.4433689,-76.4943155,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08184fba637fb:0x6e9f252042039f18!8m2!3d42.4433689!4d-76.4943155!16s%2Fg%2F1th24sn8?hl=en&entry=ttu",,42.4433689,-76.4943155
ChIJf5Iw0I2B0IkRLBgEfNuF9hA,1222311526602643500,Cornell University Department of Performing and Media Arts,University department,False,1,False,"https://www.google.com/maps/place/Cornell+University+Department+of+Performing+and+Media+Arts/@42.4424685,-76.4859262,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818dd030927f:0x10f685db7c04182c!8m2!3d42.4424685!4d-76.4859262!16s%2Fg%2F1tftm5jl?hl=en&entry=ttu",5.0,42.4424685,-76.4859262
ChIJFVlnXd6B0IkRzJ3ZuAVT7tA,15055061888387358156,Pearl-IthacaCarShare,Transportation service,False,0,False,"https://www.google.com/maps/place/Pearl-IthacaCarShare/@42.438803,-76.488761,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081de5d675915:0xd0ee5305b8d99dcc!8m2!3d42.438803!4d-76.488761!16s%2Fg%2F11ncl60p5v?hl=en&entry=ttu",,42.438803,-76.488761
ChIJzXuzMnSB0IkRkXwlr4ZPaA8,1110224748029508753,Civic Ensemble,Performing arts group,False,1,False,"https://www.google.com/maps/place/Civic+Ensemble/@42.4402117,-76.499304,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0817432b37bcd:0xf684f86af257c91!8m2!3d42.4402117!4d-76.499304!16s%2Fg%2F11clv4x49g?hl=en&entry=ttu",5.0,42.4402117,-76.499304
ChIJ9cyXya6B0IkRYg9M3XN847s,13538801741881675618,Ithaca College Theatre Arts,Drama school,False,4,False,"https://www.google.com/maps/place/Ithaca+College+Theatre+Arts/@42.4212367,-76.4983573,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081aec997ccf5:0xbbe37c73dd4c0f62!8m2!3d42.4212367!4d-76.4983573!16s%2Fg%2F1hm4t6f51?hl=en&entry=ttu",5.0,42.4212367,-76.4983573
ChIJVVVVdCCC0IkRDGiaQHmfRLg,13277912944518785036,Clark Physical Sciences Library,University library,False,0,False,"https://www.google.com/maps/place/Clark+Physical+Sciences+Library/@42.4497231,-76.4812084,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0822074555555:0xb8449f79409a680c!8m2!3d42.4497231!4d-76.4812084!16s%2Fg%2F1tgn5qm6?hl=en&entry=ttu",,42.4497231,-76.4812084
ChIJoZffHpCc0IkRjg-tPXEcvIU,9636608575357652878,Sidney Cox Library of Music and Dance,University library,False,0,False,"https://www.google.com/maps/place/Sidney+Cox+Library+of+Music+and+Dance/@42.4501699,-76.4834629,17z/data=!3m1!4b1!4m6!3m5!1s0x89d09c901edf97a1:0x85bc1c713dad0f8e!8m2!3d42.4501699!4d-76.4834629!16s%2Fg%2F1260w672x?hl=en&entry=ttu",,42.4501699,-76.4834629
ChIJ__-_d_iB0IkRF_9KGvtEeeY,16607380946174017303,Flower-Sprecher Veterinary Library,University library,False,0,False,"https://www.google.com/maps/place/Flower-Sprecher+Veterinary+Library/@42.447599,-76.4658207,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f877bfffff:0xe67944fb1a4aff17!8m2!3d42.447599!4d-76.4658207!16s%2Fg%2F1td0n_m4?hl=en&entry=ttu",,42.447599,-76.4658207
ChIJZ39mm4F42okRZP1f4ISFV_Y,17750803262050663780,Adelson Library,University library,False,1,False,"https://www.google.com/maps/place/Adelson+Library/@42.479567,-76.4511752,17z/data=!3m1!4b1!4m6!3m5!1s0x89da78819b667f67:0xf6578584e05ffd64!8m2!3d42.479567!4d-76.4511752!16s%2Fg%2F1tf43z3h?hl=en&entry=ttu",5.0,42.479567,-76.4511752
ChIJZ68DsouB0IkR82zI8xtz94Q,9581253296145329395,"Carl A. Kroch Library, Division of Rare & Manuscript Collection",University library,False,1,False,"https://www.google.com/maps/place/Carl+A.+Kroch+Library,+Division+of+Rare+%26+Manuscript+Collection/@42.4477743,-76.4841701,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818bb203af67:0x84f7731bf3c86cf3!8m2!3d42.4477743!4d-76.4841701!16s%2Fg%2F11gbx8_6tp?hl=en&entry=ttu",5.0,42.4477743,-76.4841701
ChIJu_r5z4qB0IkRSKTYNKMBsL4,13740484263585293384,The Essential Electronic Agricultural Library,Library,True,0,False,"https://www.google.com/maps/place/The+Essential+Electronic+Agricultural+Library/@42.4475983,-76.4801464,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818acff9fabb:0xbeb001a334d8a448!8m2!3d42.4475983!4d-76.4801464!16s%2Fg%2F11cns02d34?hl=en&entry=ttu",,42.4475983,-76.4801464
ChIJa0AM89qB0IkRWB921EJV6is,3164435433701908312,Library Place,Housing development,False,0,False,"https://www.google.com/maps/place/Library+Place/@42.442331,-76.4996179,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081daf30c406b:0x2bea5542d4761f58!8m2!3d42.442331!4d-76.4996179!16s%2Fg%2F11g_rm8xdw?hl=en&entry=ttu",,42.442331,-76.4996179
ChIJoSctWIOB0IkR1g7gRVSabPg,17900852305631121110,Tompkins Supreme Court Library,Public library,True,0,False,"https://www.google.com/maps/place/Tompkins+Supreme+Court+Library/@42.4422782,-76.4972634,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08183582d27a1:0xf86c9a5445e00ed6!8m2!3d42.4422782!4d-76.4972634!16s%2Fg%2F1v7tmbzt?hl=en&entry=ttu",,42.4422782,-76.4972634
ChIJ83-rWnSB0IkRH9pkdbQuFAQ,293911228284459551,Finger Lakes Toy Library,Toy library,False,18,False,"https://www.google.com/maps/place/Finger+Lakes+Toy+Library/@42.4835813,-76.4913708,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081745aab7ff3:0x4142eb47564da1f!8m2!3d42.4835813!4d-76.4913708!16s%2Fg%2F11gbx7ql96?hl=en&entry=ttu",4.8,42.4835813,-76.4913708
ChIJ5cvyINaB0IkRC7rpoPuFRhs,1965405603176757771,His Holiness the Great 14th Dalai Lama's Library and Learning center,Library,False,1,False,"https://www.google.com/maps/place/His+Holiness+the+Great+14th+Dalai+Lama's+Library+and+Learning+center/@42.4042867,-76.4986838,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081d620f2cbe5:0x1b4685fba0e9ba0b!8m2!3d42.4042867!4d-76.4986838!16s%2Fg%2F11svtmdq7n?hl=en&entry=ttu",5.0,42.4042867,-76.4986838
ChIJpV1T6eWA0IkRUGlgTtUOYsI,14006774100381428048,Cornell Resource Center,Library,True,0,False,"https://www.google.com/maps/place/Cornell+Resource+Center/@42.4470199,-76.4885246,17z/data=!3m1!4b1!4m6!3m5!1s0x89d080e5e9535da5:0xc2620ed54e606950!8m2!3d42.4470199!4d-76.4885246!16s%2Fg%2F1vs5xpy3?hl=en&entry=ttu",,42.4470199,-76.4885246
ChIJRXHsUx-B0IkRCXfn3FgEXiw,3196997565189420809,Cornell University Library Annex,University library,False,0,False,"https://www.google.com/maps/place/Cornell+University+Library+Annex/@42.4425328,-76.4576937,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811f53ec7145:0x2c5e0458dce77709!8m2!3d42.4425328!4d-76.4576937!16s%2Fg%2F11t8c42rr9?hl=en&entry=ttu",,42.4425328,-76.4576937
ChIJ-zXAaZyB0IkRFyUWkMJQR4U,9603733526962119959,Finger Lakes Library System,Public library,False,4,False,"https://www.google.com/maps/place/Finger+Lakes+Library+System/@42.4678152,-76.4107603,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c69c035fb:0x854750c290162517!8m2!3d42.4678152!4d-76.4107603!16s%2Fg%2F1td2hwvt?hl=en&entry=ttu",4.0,42.4678152,-76.4107603
ChIJuxV_ppZ62okR2X6djEn3GPQ,17589080239959277273,Southworth Library,Public library,False,22,False,"https://www.google.com/maps/place/Southworth+Library/@42.4909242,-76.2990235,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a96a67f15bb:0xf418f7498c9d7ed9!8m2!3d42.4909242!4d-76.2990235!16s%2Fm%2F09gcw4y?hl=en&entry=ttu",5.0,42.4909242,-76.2990235
ChIJOYCteI6B0IkRj6SDbq2mgRE,1261472634454123663,Cornell University Law Library,Law library,False,4,False,"https://www.google.com/maps/place/Cornell+University+Law+Library/@42.4438549,-76.4857724,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e78ad8039:0x1181a6ad6e83a48f!8m2!3d42.4438549!4d-76.4857724!16s%2Fg%2F1tgdjzt6?hl=en&entry=ttu",5.0,42.4438549,-76.4857724
ChIJQQFU0gF02okRQN0FakYpnn8,9195832871540350272,Groton Public Library,Public library,False,21,False,"https://www.google.com/maps/place/Groton+Public+Library/@42.590461,-76.3668159,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7401d2540141:0x7f9e29466a05dd40!8m2!3d42.590461!4d-76.3668159!16s%2Fm%2F0j9fq8w?hl=en&entry=ttu",5.0,42.590461,-76.3668159
ChIJq6rqC4yB0IkRuY7ICsIG8Js,11236488500763725497,Cornell University Engineering Library,University library,False,2,False,"https://www.google.com/maps/place/Cornell+University+Engineering+Library/@42.4447409,-76.4841488,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818c0beaaaab:0x9bf006c20ac88eb9!8m2!3d42.4447409!4d-76.4841488!16s%2Fm%2F04n3j4c?hl=en&entry=ttu",4.5,42.4447409,-76.4841488
ChIJLVAhLqF90IkRpRBPHvqlCyk,2957640073967767717,Newfield Public Library,Public library,False,14,False,"https://www.google.com/maps/place/Newfield+Public+Library/@42.361782,-76.5913848,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07da12e21502d:0x290ba5fa1e4f10a5!8m2!3d42.361782!4d-76.5913848!16s%2Fm%2F0j9glky?hl=en&entry=ttu",4.6,42.361782,-76.5913848
ChIJ2aP9D4uB0IkRaF2_G9FXcI4,10263800106402667880,Nestlé Library,University library,False,10,False,"https://www.google.com/maps/place/Nestl%C3%A9+Library/@42.445824,-76.482373,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818b0ffda3d9:0x8e7057d11bbf5d68!8m2!3d42.445824!4d-76.482373!16s%2Fg%2F11xcglfbs?hl=en&entry=ttu",4.6,42.445824,-76.482373
ChIJzQyLBSOC0IkRt7a_Kjhtuto,15761029933939275447,Africana Library,University library,False,0,False,"https://www.google.com/maps/place/Africana+Library/@42.4573916,-76.4822137,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08223058b0ccd:0xdaba6d382abfb6b7!8m2!3d42.4573916!4d-76.4822137!16s%2Fg%2F1vxvjv8h?hl=en&entry=ttu",,42.4573916,-76.4822137
ChIJVVUVuIqB0IkRFg7SS-7glqY,12004029170881531414,Cornell University Mathematics Library,University library,False,1,False,"https://www.google.com/maps/place/Cornell+University+Mathematics+Library/@42.4482224,-76.4802083,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818ab8155555:0xa696e0ee4bd20e16!8m2!3d42.4482224!4d-76.4802083!16s%2Fg%2F1vcjn6_x?hl=en&entry=ttu",5.0,42.4482224,-76.4802083
ChIJq6rarY6B0IkR_s8YcHnauBk,1853471461769531390,Alternatives Library,Public library,False,1,False,"https://www.google.com/maps/place/Alternatives+Library/@42.4448839,-76.4855954,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818eaddaaaab:0x19b8da797018cffe!8m2!3d42.4448839!4d-76.4855954!16s%2Fg%2F1vgx1r2j?hl=en&entry=ttu",5.0,42.4448839,-76.4855954
